"cases","zip_code","total_population","total_non_hispanic","total_white_nonhispanic","total_black_nonhispanic","total_asian_alone","total_black","total_hispanic","average_household_size","pct_more_than_one_occupant_per_room","total_male","total_female","age_60_and_over","age_65_and_over","age_75_and_over","median_age","below_poverty_level","pct_below_poverty_level","household_median_income","household_mean_income","pct_services","pct_over_age_65","pct_white","pct_minority","pct_black","pct_hispanic","cases_per_1000","city"
426,10030,29882,22227,3217,17098,536,20149,7655,2.29385992462312,7.8,13233,16649,5003,3319,1662,36.1,8777,29.4,37232,86144,0.287515134249697,0.111070209490663,0.107656783347835,0.892343216652165,0.572183923432167,0.256174285523057,14.2560738906365,"nyc"
847,10027,64548,48121,16194,23723,6121,26969,16427,2.40359455713746,5.4,29804,34744,9343,6562,2944,31,16555,28.6,46113,97728,0.1808533996926,0.10166077957489,0.250883063766499,0.749116936233501,0.367524942678317,0.2544927805664,13.1220177232447,"nyc"
285,10474,12127,4439,147,4229,9,5151,7688,3.17964736238532,16.9,6430,5697,1478,913,335,30.2,4820,42.9,25493,47042,0.417671671178932,0.0752865506720541,0.0121217118825761,0.987878288117424,0.348725983342954,0.633957285396223,23.5012781396883,"nyc"
1091,10455,42283,11911,563,10288,521,13540,30372,2.85499826400944,12.3,20172,22111,5622,3870,1687,30.6,16515,39.6,26801,44953,0.429582359259493,0.0915261452593241,0.0133150438710593,0.986684956128941,0.243312915356053,0.718302864035192,25.8023319064399,"nyc"
369,10037,21139,16622,1247,14335,528,15990,4517,2.13744425033398,7,9399,11740,4092,3075,1667,35.3,5249,25.1,45041,64197,0.204222914503288,0.145465726855575,0.058990491508586,0.941009508491414,0.678130469747859,0.213680874213539,17.455887222669,"nyc"
571,10024,59001,52581,45305,1731,4274,2744,6420,2.02359117943724,2.3,26607,32394,15431,11479,4755,43.1,4197,7.2,131668,375977,0.0517529696690116,0.194556024474161,0.767868341214556,0.232131658785444,0.0293384857883765,0.108811715055677,9.67780207115134,"nyc"
975,10454,38203,12247,888,10753,130,12941,25956,2.82234905445432,14.1,18469,19734,4601,3212,1644,29.6,17330,45.9,21149,41597,0.479353011329755,0.0840771667146559,0.0232442478339397,0.97675575216606,0.281470041619768,0.679423081956914,25.5215558987514,"nyc"
561,10026,39363,30974,7744,19796,2308,22257,8389,2.47522447923405,4.4,18124,21239,5860,4113,1754,35.1,9804,25.2,58884,107008,0.201508510855163,0.104488987119884,0.196732972588471,0.803267027411529,0.502908823006377,0.213118918781597,14.251962502858,"nyc"
800,10035,35743,19808,3638,13227,1583,15618,15935,2.26908026060438,7.9,17697,18046,6254,4521,2067,36.3,13064,37.6,30081,58332,0.282671272308578,0.126486305010771,0.101782167137621,0.898217832862379,0.370058472987718,0.445821559466189,22.3820048680861,"nyc"
800,10035,35743,19808,3638,13227,1583,15618,15935,2.26908026060438,7.9,17697,18046,6254,4521,2067,36.3,13064,37.6,30081,58332,0.282671272308578,0.126486305010771,0.101782167137621,0.898217832862379,0.370058472987718,0.445821559466189,22.3820048680861,"nyc"
1096,10025,92805,71069,50675,9197,8271,14041,21736,2.09293104271057,3.6,41890,50915,25020,18590,7392,41.3,12890,14.6,85930,221643,0.115908474646977,0.200312483163623,0.54603739022682,0.45396260977318,0.0991002639943969,0.234211518775928,11.8097085286353,"nyc"
707,11357,39902,33662,23849,187,8770,508,6240,2.73614536686187,2.3,18957,20945,11689,8641,4121,45.5,2358,6,83951,111910,0.168442801217921,0.216555561124756,0.597689338880257,0.402310661119743,0.00468648188060749,0.15638313868979,17.7184101047567,"nyc"
1548,10029,79597,41475,12310,20558,7395,25714,38122,2.39965604291575,7.7,36356,43241,15322,10705,5415,35.1,25526,33.2,34016,76698,0.247729175062777,0.134489993341458,0.154654069877005,0.845345930122995,0.258276065680867,0.478937648403834,19.4479691445658,"nyc"
478,11356,23362,13945,6189,355,6771,496,9417,3.1308010197236,7.5,11624,11738,4517,3036,1448,37.1,2856,12.3,60493,82604,0.319022945965951,0.129954627172331,0.264917387209999,0.735082612790001,0.015195616813629,0.403090488828011,20.4605770053934,"nyc"
287,11360,19621,17703,10832,149,6357,313,1918,2.28,2.3,9073,10548,6686,5290,2879,48.5,1582,8.1,86174,123086,0.132918426316959,0.269609092299067,0.552061566688752,0.447938433311248,0.00759390449008715,0.097752408134142,14.6271851587585,"nyc"
431,11105,37382,29170,22775,791,4548,1308,8212,2.4274035019202,6.5,18814,18568,6517,4830,2452,35.4,3969,10.6,73959,107126,0.186128456735058,0.129206570006955,0.609250441388904,0.390749558611096,0.0211599165373709,0.219677919854475,11.5296131828153,"nyc"
555,10128,59256,51949,42129,1766,5781,2808,7307,1.92270600501776,3.9,25338,33918,14492,10998,4881,39.5,3686,6.2,114010,298667,0.0504356568364611,0.185601458080194,0.710965978128797,0.289034021871203,0.0298028891589037,0.123312407182395,9.36614013770757,"nyc"
496,10023,62435,55873,45242,2348,6637,3088,6562,1.80433739945983,3.1,27151,35284,17612,14025,5928,43.3,5014,8.2,130452,331875,0.052281155185976,0.224633618963722,0.72462561063506,0.27537438936494,0.0376071113958517,0.105101305357572,7.94426203251381,"nyc"
89,11363,6952,6038,3531,112,2264,146,914,2.61472378804961,3.2,3341,3611,1898,1499,702,47.8,409,5.9,104792,151973,0.0765481651376147,0.215621403912543,0.507911392405063,0.492088607594937,0.0161104718066743,0.131472957422325,12.8020713463751,"nyc"
427,10028,47793,44260,38688,392,4506,881,3533,1.88579824630698,3.8,20516,27277,11482,8873,4066,38.9,2403,5,125140,370171,0.027365687388411,0.185654803004624,0.809490929634047,0.190509070365953,0.00820203795534911,0.0739229594292051,8.93436277279099,"nyc"
945,11354,55200,46397,9060,1670,34571,2134,8803,2.65642601431981,9.8,25033,30167,14691,11194,5729,45.5,10670,20,42500,67340,0.307887435592548,0.202789855072464,0.164130434782609,0.835869565217391,0.0302536231884058,0.159474637681159,17.1195652173913,"nyc"
